freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.534e+01,8.529e+02,3.519e+01,9.234e+02
1.6,1.165e+02,5.575e+02,1.655e+02,8.394e+02
3.3,1.062e+02,1.185e+02,1.739e+02,3.986e+02
4.9,9.335e+01,7.166e+02,1.752e+02,9.851e+02
6.5,9.701e+01,2.017e+03,1.705e+02,2.285e+03
8.2,9.146e+01,3.391e+03,1.652e+02,3.648e+03
9.8,9.672e+01,5.148e+03,1.670e+02,5.412e+03
11.4,1.356e+02,7.192e+03,1.831e+02,7.511e+03
13.1,2.381e+02,9.334e+03,2.024e+02,9.774e+03
14.7,2.810e+02,1.154e+04,2.068e+02,1.203e+04
16.3,2.165e+02,1.228e+04,1.800e+02,1.268e+04
18.0,1.657e+02,1.469e+04,1.555e+02,1.502e+04
19.6,1.572e+02,1.711e+04,1.550e+02,1.742e+04
21.2,1.485e+02,2.010e+04,1.652e+02,2.041e+04
22.9,1.561e+02,2.403e+04,1.575e+02,2.434e+04
24.5,1.562e+02,2.829e+04,1.665e+02,2.861e+04
26.2,1.613e+02,3.389e+04,1.766e+02,3.423e+04
27.8,1.900e+02,4.034e+04,2.151e+02,4.075e+04
29.4,2.241e+02,4.745e+04,2.294e+02,4.791e+04
31.1,2.220e+02,5.666e+04,2.283e+02,5.711e+04
32.7,2.023e+02,6.624e+04,2.371e+02,6.668e+04
34.3,1.830e+02,7.787e+04,2.323e+02,7.828e+04
36.0,1.909e+02,9.005e+04,2.307e+02,9.047e+04
37.6,2.404e+02,1.097e+05,2.283e+02,1.102e+05
39.2,2.801e+02,1.363e+05,2.311e+02,1.368e+05
40.9,3.050e+02,1.831e+05,3.361e+02,1.837e+05
42.5,3.367e+02,2.797e+05,5.986e+02,2.806e+05
44.1,2.810e+02,3.311e+05,6.983e+02,3.321e+05
45.8,3.183e+02,2.375e+05,5.102e+02,2.383e+05
47.4,3.794e+02,3.081e+05,5.285e+02,3.090e+05
49.0,3.556e+02,5.364e+05,6.093e+02,5.373e+05
50.7,4.498e+02,8.410e+05,1.076e+03,8.425e+05
52.3,5.933e+02,1.544e+06,2.506e+03,1.547e+06
53.9,3.934e+02,2.723e+06,5.471e+03,2.729e+06
55.6,3.403e+02,3.692e+06,1.028e+04,3.703e+06
57.2,5.360e+02,3.530e+06,1.079e+04,3.542e+06
58.8,7.327e+02,2.851e+06,8.644e+03,2.860e+06
60.5,9.031e+02,2.312e+06,6.589e+03,2.319e+06
62.1,1.119e+03,1.888e+06,5.140e+03,1.894e+06
63.7,1.039e+03,1.565e+06,4.354e+03,1.571e+06
65.4,8.805e+02,1.252e+06,3.433e+03,1.256e+06
67.0,1.355e+03,8.902e+05,1.883e+03,8.934e+05
68.6,3.314e+03,6.099e+05,7.590e+02,6.140e+05
70.3,6.428e+03,5.916e+05,6.115e+02,5.987e+05
71.9,1.143e+04,7.292e+05,1.035e+03,7.417e+05
73.5,1.326e+04,8.719e+05,1.429e+03,8.866e+05
75.2,8.974e+03,7.479e+05,1.512e+03,7.584e+05
76.8,4.221e+03,5.170e+05,1.766e+03,5.230e+05
78.5,2.240e+03,3.414e+05,2.297e+03,3.459e+05
80.1,2.888e+03,2.100e+05,2.599e+03,2.155e+05
81.7,4.604e+03,1.171e+05,2.701e+03,1.244e+05
83.4,6.534e+03,5.955e+04,2.745e+03,6.883e+04
85.0,8.521e+03,2.970e+04,2.877e+03,4.110e+04
86.6,1.075e+04,1.499e+04,3.271e+03,2.902e+04
88.3,1.312e+04,7.990e+03,3.977e+03,2.508e+04
89.9,1.499e+04,5.027e+03,4.758e+03,2.478e+04
91.5,1.637e+04,3.487e+03,5.584e+03,2.544e+04
