freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.681e+03,3.678e+01,6.100e+01,1.778e+03
1.6,1.093e+03,1.679e+02,1.635e+02,1.425e+03
3.3,3.600e+02,1.774e+02,1.573e+02,6.947e+02
4.9,1.046e+03,1.637e+02,1.688e+02,1.379e+03
6.5,2.324e+03,1.377e+02,1.702e+02,2.632e+03
8.2,3.541e+03,1.426e+02,1.675e+02,3.851e+03
9.8,5.023e+03,1.494e+02,1.628e+02,5.336e+03
11.4,6.837e+03,1.735e+02,1.629e+02,7.173e+03
13.1,8.396e+03,2.247e+02,1.682e+02,8.789e+03
14.7,9.864e+03,2.525e+02,1.641e+02,1.028e+04
16.3,1.171e+04,1.978e+02,1.689e+02,1.208e+04
18.0,1.420e+04,1.505e+02,1.776e+02,1.452e+04
19.6,1.732e+04,1.596e+02,1.573e+02,1.764e+04
21.2,2.078e+04,1.873e+02,1.761e+02,2.114e+04
22.9,2.483e+04,1.746e+02,1.822e+02,2.518e+04
24.5,2.946e+04,1.679e+02,1.784e+02,2.981e+04
26.2,3.509e+04,1.485e+02,2.188e+02,3.546e+04
27.8,4.126e+04,1.654e+02,2.421e+02,4.166e+04
29.4,4.663e+04,1.445e+02,2.564e+02,4.704e+04
31.1,5.116e+04,1.567e+02,2.061e+02,5.152e+04
32.7,5.723e+04,1.778e+02,1.884e+02,5.760e+04
34.3,6.497e+04,1.866e+02,1.766e+02,6.533e+04
36.0,7.259e+04,1.822e+02,1.608e+02,7.294e+04
37.6,8.141e+04,1.596e+02,1.843e+02,8.175e+04
39.2,9.017e+04,1.658e+02,1.988e+02,9.053e+04
40.9,1.019e+05,1.639e+02,2.092e+02,1.023e+05
42.5,1.155e+05,1.614e+02,2.693e+02,1.160e+05
44.1,1.266e+05,1.904e+02,3.206e+02,1.271e+05
45.8,1.402e+05,1.955e+02,2.538e+02,1.406e+05
47.4,1.593e+05,2.111e+02,2.183e+02,1.597e+05
49.0,1.766e+05,2.259e+02,2.239e+02,1.771e+05
50.7,1.960e+05,2.312e+02,2.474e+02,1.964e+05
52.3,2.286e+05,2.457e+02,2.630e+02,2.292e+05
53.9,2.645e+05,2.882e+02,2.930e+02,2.650e+05
55.6,2.967e+05,3.483e+02,3.015e+02,2.974e+05
57.2,3.227e+05,4.223e+02,3.018e+02,3.234e+05
58.8,3.566e+05,5.391e+02,3.617e+02,3.575e+05
60.5,4.206e+05,6.635e+02,4.483e+02,4.217e+05
62.1,5.034e+05,7.679e+02,5.245e+02,5.047e+05
63.7,5.957e+05,9.817e+02,6.946e+02,5.974e+05
65.4,7.295e+05,1.224e+03,1.190e+03,7.319e+05
67.0,9.525e+05,1.538e+03,2.944e+03,9.569e+05
68.6,1.183e+06,2.625e+03,7.415e+03,1.193e+06
70.3,1.043e+06,3.459e+03,1.073e+04,1.057e+06
71.9,6.941e+05,2.441e+03,8.257e+03,7.048e+05
73.6,6.696e+05,1.886e+03,4.823e+03,6.763e+05
75.2,9.141e+05,3.266e+03,2.642e+03,9.200e+05
76.8,1.344e+06,7.839e+03,1.742e+03,1.353e+06
78.5,1.998e+06,1.250e+04,2.670e+03,2.013e+06
80.1,2.898e+06,1.321e+04,4.867e+03,2.916e+06
81.7,3.969e+06,1.543e+04,8.474e+03,3.992e+06
83.4,5.365e+06,2.401e+04,1.501e+04,5.404e+06
85.0,7.205e+06,3.907e+04,2.672e+04,7.270e+06
86.6,8.217e+06,5.223e+04,4.435e+04,8.314e+06
88.3,7.697e+06,5.559e+04,6.865e+04,7.821e+06
89.9,6.705e+06,5.548e+04,1.114e+05,6.872e+06
91.5,5.805e+06,4.701e+04,1.895e+05,6.042e+06
93.2,6.156e+06,3.630e+04,3.192e+05,6.511e+06
94.8,7.336e+06,2.372e+04,4.262e+05,7.786e+06
96.4,7.780e+06,1.425e+04,4.585e+05,8.252e+06
98.1,7.612e+06,8.463e+03,4.307e+05,8.051e+06
99.7,7.261e+06,4.939e+03,3.907e+05,7.656e+06
101.3,6.617e+06,3.288e+03,3.347e+05,6.955e+06
103.0,5.845e+06,2.463e+03,2.536e+05,6.101e+06
104.6,4.875e+06,2.005e+03,1.589e+05,5.036e+06
106.2,3.983e+06,2.791e+03,7.935e+04,4.065e+06
107.9,3.420e+06,3.888e+03,3.928e+04,3.463e+06
109.5,3.021e+06,4.455e+03,2.814e+04,3.054e+06
111.1,2.708e+06,4.799e+03,2.688e+04,2.740e+06
112.8,2.428e+06,4.212e+03,2.105e+04,2.453e+06
114.4,2.167e+06,2.917e+03,1.256e+04,2.182e+06
116.1,1.951e+06,1.867e+03,6.393e+03,1.960e+06
117.7,1.771e+06,1.111e+03,2.875e+03,1.775e+06
119.3,1.653e+06,7.093e+02,1.354e+03,1.655e+06
121.0,1.517e+06,4.430e+02,6.804e+02,1.518e+06
122.6,1.354e+06,3.076e+02,3.926e+02,1.355e+06
124.2,1.137e+06,2.873e+02,4.098e+02,1.138e+06
125.9,9.333e+05,2.852e+02,7.054e+02,9.343e+05
127.5,1.017e+06,2.556e+02,4.388e+02,1.018e+06
129.1,9.537e+05,2.580e+02,2.147e+02,9.542e+05
130.8,8.605e+05,2.682e+02,1.919e+02,8.610e+05
132.4,5.197e+05,2.514e+02,2.273e+02,5.202e+05
134.0,7.991e+04,1.893e+02,2.021e+02,8.030e+04
135.7,1.517e+04,1.983e+02,1.651e+02,1.553e+04
137.3,1.315e+04,1.912e+02,1.552e+02,1.349e+04
138.9,1.157e+04,1.710e+02,1.742e+02,1.192e+04
140.6,1.061e+04,1.744e+02,1.693e+02,1.096e+04
142.2,1.027e+04,1.705e+02,1.633e+02,1.060e+04
143.8,9.962e+03,1.981e+02,1.632e+02,1.032e+04
145.5,9.819e+03,2.230e+02,1.725e+02,1.021e+04
147.1,9.765e+03,2.106e+02,1.874e+02,1.016e+04
148.7,1.022e+04,2.237e+02,1.729e+02,1.062e+04
150.4,1.045e+04,2.653e+02,1.678e+02,1.088e+04
