freq,psd_x,psd_y,psd_z,psd_xyz
143.8,3.108e+02,3.756e+03,2.425e+02,4.309e+03
145.5,3.022e+02,3.983e+03,2.610e+02,4.546e+03
147.1,2.743e+02,4.087e+03,2.639e+02,4.625e+03
148.7,2.868e+02,4.647e+03,2.769e+02,5.211e+03
150.4,3.979e+02,5.747e+03,3.261e+02,6.471e+03
152.0,4.731e+02,6.069e+03,3.305e+02,6.872e+03
153.6,5.105e+02,6.037e+03,3.275e+02,6.875e+03
155.3,5.277e+02,6.003e+03,3.278e+02,6.859e+03
156.9,5.772e+02,5.749e+03,3.277e+02,6.654e+03
158.5,6.447e+02,5.141e+03,3.358e+02,6.122e+03
160.2,7.777e+02,4.888e+03,3.433e+02,6.009e+03
161.8,6.938e+02,4.587e+03,3.463e+02,5.627e+03
163.4,5.914e+02,4.150e+03,3.666e+02,5.108e+03
165.1,5.299e+02,3.611e+03,3.286e+02,4.470e+03
166.7,4.679e+02,3.258e+03,3.129e+02,4.039e+03
168.3,4.141e+02,2.980e+03,3.159e+02,3.710e+03
170.0,3.792e+02,2.861e+03,3.272e+02,3.567e+03
171.6,3.485e+02,2.117e+03,2.760e+02,2.742e+03
173.3,2.829e+02,1.690e+03,2.564e+02,2.230e+03
174.9,2.567e+02,1.911e+03,2.635e+02,2.432e+03
176.5,2.735e+02,2.194e+03,2.896e+02,2.757e+03
178.2,3.178e+02,2.728e+03,3.410e+02,3.387e+03
179.8,3.205e+02,3.699e+03,4.446e+02,4.464e+03
181.4,3.158e+02,4.384e+03,5.285e+02,5.228e+03
183.1,3.730e+02,4.551e+03,5.684e+02,5.493e+03
184.7,4.092e+02,4.813e+03,6.325e+02,5.855e+03
186.3,4.203e+02,5.175e+03,7.242e+02,6.319e+03
188.0,4.477e+02,5.114e+03,8.107e+02,6.372e+03
189.6,4.143e+02,4.509e+03,8.084e+02,5.731e+03
191.2,3.265e+02,3.917e+03,7.236e+02,4.967e+03
192.9,3.033e+02,3.838e+03,7.834e+02,4.925e+03
194.5,2.619e+02,4.258e+03,9.323e+02,5.453e+03
196.1,2.502e+02,4.513e+03,1.075e+03,5.839e+03
197.8,2.750e+02,4.507e+03,1.273e+03,6.055e+03
199.4,3.145e+02,4.527e+03,1.418e+03,6.260e+03
