freq,psd_x,psd_y,psd_z,psd_xyz
161.8,4.330e+03,2.927e+02,1.766e+02,4.799e+03
163.4,3.636e+03,2.864e+02,1.729e+02,4.095e+03
165.1,3.317e+03,2.764e+02,1.404e+02,3.733e+03
166.7,3.137e+03,3.736e+02,1.422e+02,3.653e+03
168.3,3.133e+03,5.650e+02,1.546e+02,3.853e+03
170.0,3.607e+03,8.380e+02,1.542e+02,4.599e+03
171.6,4.448e+03,1.020e+03,1.770e+02,5.645e+03
173.2,6.699e+03,1.189e+03,1.952e+02,8.083e+03
174.9,6.470e+03,1.300e+03,1.917e+02,7.962e+03
176.5,5.631e+03,1.247e+03,1.897e+02,7.067e+03
178.1,4.951e+03,1.349e+03,1.924e+02,6.492e+03
179.8,4.458e+03,1.557e+03,1.919e+02,6.207e+03
181.4,4.171e+03,1.757e+03,1.974e+02,6.125e+03
183.1,3.977e+03,2.079e+03,2.269e+02,6.283e+03
184.7,3.875e+03,2.115e+03,2.494e+02,6.240e+03
186.3,3.699e+03,1.412e+03,2.137e+02,5.325e+03
188.0,3.582e+03,5.579e+02,1.859e+02,4.326e+03
189.6,3.405e+03,3.136e+02,1.990e+02,3.917e+03
191.2,2.961e+03,3.675e+02,2.252e+02,3.554e+03
192.9,2.697e+03,3.816e+02,2.152e+02,3.293e+03
194.5,2.626e+03,4.358e+02,2.242e+02,3.286e+03
196.1,2.369e+03,4.092e+02,2.385e+02,3.017e+03
197.8,2.137e+03,4.005e+02,2.402e+02,2.777e+03
199.4,2.051e+03,4.056e+02,2.467e+02,2.703e+03
